free_agent_players, average_salary ,pts,3pts,ast,reb,stl,blk,to,playerscoreindex
Thon Maker,1737145.00,4.7,0.4,0.7,2.8,0.4,0.7,0.8,8.9
Willy Hernangomez,1737145.00,6.1,0.2,0.9,4.3,0.3,0.2,1,11
Sindarius Thornwell,1678854.00,8,1,2,2,0.5,0.5,1,13
Harry Giles,1678854.00,6.9,0,1.3,4.1,0.5,0.4,1,12.2
Torrey Craig,1678854.00,5.4,0.8,0.8,3.3,0.4,0.6,0.4,10.9
Derrick Walton Jr.,1620564.00,2,0.4,1,0.6,0.3,0,0.2,4.1
Wenyen Gabriel,1620564.00,2.1,0.2,0.3,1.7,0.4,0.2,0.5,4.4
DaQuan Jeffries,1445697.00,3.8,0.4,0.5,1.4,0.3,0.1,0.2,6.3
Evan Turner,0.00,3.3,0,2,2,0.5,0.4,1.4,6.8
Ian Mahinmi,0.00,7.4,0.1,1.3,5.7,0.8,1.2,1.2,15.3
Brandon Knight,0.00,7.3,1.8,2.8,1.6,0.4,0.1,1.5,12.5
Dewayne Dedmon,0.00,5.8,0.5,0.5,5.7,0.6,0.9,1.3,12.7
Courtney Lee,0.00,4.5,0.9,0.5,1.3,0.8,0.2,0.5,7.7
John Henson,0.00,5.5,0.2,1.4,4,0.6,1.1,0.9,11.9
Andre Roberson,0.00,2.9,0.4,0.6,3.9,0.1,0.4,0.3,8
Taj Gibson,0.00,6.1,0.1,0.8,4.3,0.4,0.5,0.8,11.4
E'Twaun Moore,0.00,8.3,1.1,1.4,2.3,0.6,0.2,0.7,13.2
Ersan Ilyasova,0.00,6.6,0.8,0.8,4.8,0.4,0.3,0.5,13.2
Marco Belinelli,0.00,6.3,1.2,1.2,1.7,0.2,0,0.3,10.3
Frank Kaminsky,0.00,9.7,1.1,1.9,4.5,0.4,0.3,0.9,17
Yogi Ferrell,0.00,4.4,0.5,1.4,1,0.4,0.1,0.6,7.2
Quinn Cook,0.00,5.1,0.7,1.1,1.2,0.3,0,0.8,7.6
Zhaire Smith,0.00,1.1,0,0.3,0.3,0.4,0,0.3,1.8
Wilson Chandler,0.00,5.9,1.1,1.1,4.2,0.5,0.3,1,12.1
Tyson Chandler,0.00,1.3,0,0.2,2.5,0.2,0.3,0.3,4.2
Kyle Korver,0.00,6.7,1.7,1.2,2.1,0.4,0.2,0.8,11.5
Vince Carter,0.00,5,1,0.8,2.1,0.4,0.4,0.6,9.1
Thabo Sefolosha,0.00,2.2,0.4,0.6,2.3,0.6,0.3,0.4,6
Rondae Hollis-Jefferson,0.00,7,0.1,1.8,4.7,0.8,0.4,1,13.8
Denzel Valentine,0.00,6.8,1.3,1.2,2.1,0.7,0.2,0.7,11.6
